reach_node_index,distance_covered,flow_accumulation
3410588,502,1.02E+07
3410589,503,1.02E+07
3410590,504,1.02E+07
3410591,505,1.02E+07
3410592,506,1.02E+07
3410593,507,1.02E+07
3410594,508,1.02E+07
3410595,509,1.02E+07
3410596,510,1.02E+07
3410597,511,1.02E+07
3410598,512,1.02E+07
3410599,513,1.02E+07
3410600,514,1.02E+07
3410601,515,1.02E+07
3410602,516,1.02E+07
3410603,517,1.02E+07
3410604,518,1.02E+07
3410605,519,1.02E+07
3410606,520,1.02E+07
3410607,521,1.02E+07
3410608,522,1.02E+07
3410609,523,1.02E+07
3410610,524,1.02E+07
3410611,525,1.02E+07
3410612,526,1.02E+07
3410613,527,1.02E+07
3407914,528,1.02E+07
3407915,529,1.02E+07
3410616,530,1.02E+07
3413317,531,1.02E+07
3413318,532,1.02E+07
3413319,533,1.02E+07
3413320,534,1.02E+07
3413321,535,1.02E+07
3413322,536,1.02E+07
3413323,537,1.02E+07
3413324,538,1.02E+07
3416025,539,1.02E+07
3418726,540,1.02E+07
3421427,541,1.02E+07
3418728,542,1.02E+07
3418729,543,1.02E+07
3416030,544,1.02E+07
3413331,545,1.02E+07
3410632,546,1.02E+07
3410633,547,1.02E+07
3410634,548,1.02E+07
3410635,549,1.02E+07
3410636,550,1.02E+07
3410637,551,1.02E+07
3413338,552,1.02E+07
3413339,553,1.02E+07
3413340,554,1.02E+07
3413341,555,1.02E+07
3413342,556,1.02E+07
3413343,557,1.02E+07
3413344,558,1.02E+07
3416045,559,1.02E+07
3416046,560,1.02E+07
3416047,561,1.02E+07
3413348,562,1.02E+07
3413349,563,1.02E+07
3416050,564,1.02E+07
3418751,565,1.02E+07
3418752,566,1.02E+07
3418753,567,1.02E+07
3421454,568,1.02E+07
3421455,569,1.02E+07
3421456,570,1.02E+07
3421457,571,1.02E+07
3424158,572,1.02E+07
3426859,573,1.02E+07
3429560,574,1.02E+07
3429561,575,1.02E+07
3432262,576,1.02E+07
3432263,577,1.03E+07
3429564,578,1.03E+07
3426865,579,1.03E+07
3426866,580,1.03E+07
3424167,581,1.03E+07
3421468,582,1.03E+07
3418769,583,1.03E+07
3418770,584,1.03E+07
3416071,585,1.03E+07
3413372,586,1.03E+07
3413373,587,1.03E+07
3410674,588,1.03E+07
3407975,589,1.03E+07
3407976,590,1.03E+07
3405277,591,1.03E+07
3402578,592,1.03E+07
3399879,593,1.03E+07
3399880,594,1.03E+07
3397181,595,1.03E+07
3394482,596,1.03E+07
3391783,597,1.03E+07
3391784,598,1.03E+07
3389085,599,1.03E+07
3386386,600,1.03E+07
3386387,601,1.03E+07
3383688,602,1.03E+07
3380989,603,1.03E+07
3378290,604,1.03E+07
3378291,605,1.03E+07
3375592,606,1.03E+07
3372893,607,1.03E+07
3370194,608,1.03E+07
3370195,609,1.03E+07
3367496,610,1.03E+07
3364797,611,1.03E+07
3364798,612,1.03E+07
3362099,613,1.03E+07
3364800,614,1.03E+07
3364801,615,1.03E+07
3364802,616,1.03E+07
3364803,617,1.03E+07
3364804,618,1.03E+07
3364805,619,1.03E+07
3364806,620,1.03E+07
3364807,621,1.03E+07
3364808,622,1.03E+07
3364809,623,1.03E+07
3364810,624,1.04E+07
3367511,625,1.04E+07
3370212,626,1.04E+07
3372913,627,1.04E+07
3372914,628,1.04E+07
3372915,629,1.04E+07
3375616,630,1.04E+07
3375617,631,1.04E+07
3378317,632,1.04E+07
3381017,633,1.04E+07
3383717,634,1.04E+07
3386417,635,1.04E+07
3389117,636,1.04E+07
3391817,637,1.04E+07
3394517,638,1.04E+07
3397217,639,1.04E+07
3399917,640,1.04E+07
3402617,641,1.04E+07
3405317,642,1.04E+07
3408017,643,1.04E+07
3410717,644,1.04E+07
3413418,645,1.04E+07
3413419,646,1.04E+07
3413420,647,1.04E+07
3413421,648,1.04E+07
3413422,649,1.04E+07
3413423,650,1.04E+07
3413424,651,1.04E+07
3416125,652,1.04E+07
3418826,653,1.04E+07
3421527,654,1.04E+07
3424228,655,1.04E+07
3424229,656,1.04E+07
3424230,657,1.04E+07
3424231,658,1.04E+07
3424232,659,1.04E+07
3421533,660,1.04E+07
3418834,661,1.04E+07
3421535,662,1.04E+07
3421536,663,1.04E+07
3421537,664,1.04E+07
3421538,665,1.04E+07
3421539,666,1.04E+07
3424240,667,1.04E+07
3424241,668,1.04E+07
3424242,669,1.04E+07
3426943,670,1.04E+07
3429644,671,1.04E+07
3432345,672,1.04E+07
3435046,673,1.04E+07
3435047,674,1.04E+07
3435048,675,1.04E+07
3437749,676,1.04E+07
3440450,677,1.04E+07
3443151,678,1.04E+07
3443152,679,1.04E+07
3443153,680,1.04E+07
3445854,681,1.04E+07
3445855,682,1.04E+07
3448556,683,1.04E+07
3448557,684,1.04E+07
3448558,685,1.04E+07
3448559,686,1.04E+07
3448560,687,1.04E+07
3451261,688,1.04E+07
3451262,689,1.04E+07
3451263,690,1.04E+07
3451264,691,1.04E+07
3453965,692,1.04E+07
3453966,693,1.04E+07
3453967,694,1.04E+07
3456668,695,1.04E+07
3456669,696,1.04E+07
3456670,697,1.04E+07
3456671,698,1.04E+07
3456672,699,1.04E+07
3456673,700,1.04E+07
3459374,701,1.04E+07
3459375,702,1.04E+07
3462076,703,1.04E+07
3462077,704,1.04E+07
3462078,705,1.04E+07
3462079,706,1.04E+07
3464780,707,1.04E+07
3464781,708,1.04E+07
3464782,709,1.04E+07
3464783,710,1.04E+07
3462084,711,1.04E+07
3459385,712,1.04E+07
3459386,713,1.04E+07
3456687,714,1.04E+07
3453988,715,1.04E+07
3453989,716,1.04E+07
3451290,717,1.04E+07
3451291,718,1.04E+07
3448592,719,1.04E+07
3445893,720,1.04E+07
3445894,721,1.04E+07
3443195,722,1.04E+07
3443196,723,1.04E+07
3445897,724,1.04E+07
3445898,725,1.04E+07
3445899,726,1.04E+07
3445900,727,1.04E+07
3445901,728,1.04E+07
3445902,729,1.04E+07
3445903,730,1.04E+07
3448604,731,1.04E+07
3448605,732,1.04E+07
3448606,733,1.04E+07
3448607,734,1.04E+07
3448608,735,1.04E+07
3451309,736,1.04E+07
3451310,737,1.04E+07
3454011,738,1.04E+07
3454012,739,1.04E+07
3454013,740,1.04E+07
3454014,741,1.04E+07
3456715,742,1.04E+07
3456716,743,1.04E+07
3459417,744,1.04E+07
3459418,745,1.04E+07
3459419,746,1.04E+07
3459420,747,1.04E+07
3462121,748,1.04E+07
3464822,749,1.04E+07
3467523,750,1.04E+07
3467524,751,1.04E+07
3470225,752,1.04E+07
3472926,753,1.04E+07
3475627,754,1.04E+07
3478328,755,1.04E+07
3481029,756,1.04E+07
3483730,757,1.04E+07
3483731,758,1.04E+07
3486432,759,1.04E+07
3489133,760,1.04E+07
3491834,761,1.04E+07
3494535,762,1.04E+07
3497236,763,1.04E+07
3499937,764,1.04E+07
3499938,765,1.04E+07
3499939,766,1.04E+07
3502640,767,1.04E+07
3502641,768,1.04E+07
3505342,769,1.04E+07
3505343,770,1.04E+07
3505344,771,1.04E+07
3508045,772,1.04E+07
3510746,773,1.04E+07
3510747,774,1.04E+07
3513448,775,1.04E+07
3516149,776,1.04E+07
3518850,777,1.04E+07
3521551,778,1.04E+07
3524252,779,1.04E+07
3524253,780,1.04E+07
3526954,781,1.04E+07
3529655,782,1.04E+07
3529656,783,1.04E+07
3529657,784,1.04E+07
3532358,785,1.04E+07
3532359,786,1.04E+07
3535060,787,1.04E+07
3537761,788,1.04E+07
3537762,789,1.04E+07
3537763,790,1.04E+07
3540464,791,1.04E+07
3540465,792,1.04E+07
3543166,793,1.04E+07
3545867,794,1.04E+07
3545868,795,1.04E+07
3545869,796,1.04E+07
3548570,797,1.04E+07
3548571,798,1.04E+07
3548572,799,1.04E+07
3551273,800,1.04E+07
3551274,801,1.04E+07
3553975,802,1.04E+07
3553976,803,1.04E+07
3553977,804,1.04E+07
3553978,805,1.04E+07
3553979,806,1.04E+07
3553980,807,1.04E+07
3553981,808,1.04E+07
3553982,809,1.04E+07
3553983,810,1.04E+07
3553984,811,1.04E+07
3556684,812,1.04E+07
3559384,813,1.04E+07
